parksid,block,lotnum,lotsize,areacovered
B416-GT001,3699,38,,
X331-GT001,2849,68,,
MGT031,394,67,,
B576-GT001,1761,74,,
XGT036,3060,42,,
Q477-GT001,508,3,,
Q477-GT001,508,5,,
Q477-GT001,508,6,,
Q477-GT001,508,7,,
Q477-GT001,508,8,,
Q477-GT001,508,9,,
Q477-GT001,508,10,,
Q477-GT001,508,11,,
Q477-GT001,508,20,,
Q477-GT001,508,27,,
Q477-GT001,508,29,,
Q477-GT001,508,119,,
B515-GT001,4089,13,,
B515-GT001,4089,21,1933,Full Lot
B515-GT001,4089,22,5000,Full Lot
B420-GT001,1484,24,,
B420-GT001,1484,26,,
B420-GT001,1484,27,,
B420-GT001,1484,31,,
B420-GT001,1484,23,,
B459-GT001,1185,30,19200,Full Lot
BGT055,1860,62,,
B493-GT001,4024,13,3582,Full Lot
B390-GT001,341,59,3375,Full Lot
B390-GT001,341,61,1500,Full Lot
B390-GT001,341,62,1500,Full Lot
B390-GT001,341,63,1500,Full Lot
M343-GT001,406,37,1100,
M343-GT001,406,38,1100,
B495-GT001,1761,4,,
B508-GT001,1758,31,,
B508-GT001,1758,32,,
B508-GT001,1758,33,,
B508-GT001,1758,34,,
X010-GT001,2941,101,,
B551-GT001,56,37,,
X347-GT001,2378,31,,
B456-GT001,1205,44,3000,Full Lot
B456-GT001,1205,46,3500,Full Lot
M403-GT001,1718,31,950,Full Lot
X272-GT001,2280,36,,
X272-GT001,2280,37,,
X272-GT001,2280,38,,
BGT056,934,19,,
BGT056,934,66,,
X088A-GT001,3448,33,,
M306-GT001,1839,38,,
M306-GT001,1839,39,,
M306-GT001,1839,40,,
M306-GT001,1839,42,,
M306-GT001,1839,43,,
M306-GT001,1839,44,,
M362-GT001,1722,5,,
M296-GT001,1916,39,,
M307-GT001,1201,6,,
R109-GT001,186,119,,
BGT057,1200,70,,
RGT003,31,3,,
M322-GT001,2068,119,,
M322-GT001,2068,20,,
M328-GT001,1953,22,,
M328-GT001,1953,23,,
M328-GT001,1953,122,,
Q121A-GT001,10234,60,17205,Partial Lot
X164-GT001,2696,79,,
X333-GT001,2511,30,,
QGT013,100,2,,
B535-GT001,4455,9,,
BGT058,1533,49,,
BGT059,1582,21,,
BGT060,3468,22,,
B578-GT001,3536,51,2500,Full Lot
B578-GT001,3536,52,2009,Full Lot
BGT061,4058,121,,
XGT037,4660,38,4300,Full Lot
XGT037,4660,34,5000,Full Lot
MGT034,405,19,,
MGT034,405,20,,
MGT034,405,21,,
MGT034,405,22,,
MGT035,2067,108,,Full Lot
Q490-GT001,12375,62,,
Q490-GT001,12375,220,,
B546-GT001,1819,43,,
BGT062,1912,3,,
B569-GT001,4104,23,,
B568-GT001,3999,19,,
B568-GT001,4000,3,,
